phase	epoch	train_loss	train_acc	val_loss	val_acc	train_reward	val_reward	elapsed_sec
SL	1	0.792364	0.458260	0.788792	0.472182	nan	nan	0.119
SL	2	0.785314	0.481173	0.780734	0.488287	nan	nan	0.122
SL	3	0.778731	0.511456	0.773288	0.502196	nan	nan	0.124
SL	4	0.772607	0.529082	0.766439	0.522694	nan	nan	0.126
SL	5	0.766924	0.547989	0.760176	0.546120	nan	nan	0.128
SL	6	0.761652	0.564172	0.754477	0.562225	nan	nan	0.130
SL	7	0.756760	0.586765	0.749298	0.589312	nan	nan	0.132
SL	8	0.752215	0.596379	0.744604	0.618594	nan	nan	0.134
SL	9	0.747981	0.611601	0.740350	0.622255	nan	nan	0.136
SL	10	0.744021	0.618971	0.736489	0.633968	nan	nan	0.138
SL	11	0.740299	0.630828	0.732973	0.635432	nan	nan	0.140
SL	12	0.736785	0.638199	0.729756	0.642021	nan	nan	0.142
SL	13	0.733447	0.641404	0.726792	0.650073	nan	nan	0.144
SL	14	0.730263	0.649896	0.724044	0.655198	nan	nan	0.146
SL	15	0.727209	0.654543	0.721475	0.661786	nan	nan	0.148
SL	16	0.724266	0.659189	0.719059	0.661786	nan	nan	0.150
SL	17	0.721415	0.664637	0.716768	0.663250	nan	nan	0.152
SL	18	0.718644	0.668322	0.714585	0.666179	nan	nan	0.154
SL	19	0.715941	0.670886	0.712494	0.671303	nan	nan	0.156
SL	20	0.713294	0.674732	0.710483	0.674231	nan	nan	0.158
SL	21	0.710697	0.676654	0.708543	0.674963	nan	nan	0.159
SL	22	0.708145	0.678257	0.706672	0.680088	nan	nan	0.162
SL	23	0.705635	0.679699	0.704854	0.687409	nan	nan	0.164
SL	24	0.703164	0.680981	0.703084	0.688141	nan	nan	0.166
SL	25	0.700729	0.682262	0.701359	0.687409	nan	nan	0.168
SL	26	0.698328	0.685147	0.699676	0.690337	nan	nan	0.170
SL	27	0.695959	0.686268	0.698033	0.692533	nan	nan	0.172
SL	28	0.693621	0.687710	0.696426	0.690337	nan	nan	0.174
SL	29	0.691317	0.689473	0.694854	0.689605	nan	nan	0.176
SL	30	0.689047	0.690755	0.693329	0.691801	nan	nan	0.178
SL	31	0.686811	0.691556	0.691847	0.691801	nan	nan	0.180
SL	32	0.684610	0.695241	0.690404	0.691069	nan	nan	0.182
SL	33	0.682443	0.697004	0.689009	0.691069	nan	nan	0.184
SL	34	0.680314	0.698446	0.687661	0.688141	nan	nan	0.186
SL	35	0.678223	0.699087	0.686364	0.691069	nan	nan	0.188
SL	36	0.676171	0.699888	0.685118	0.695461	nan	nan	0.189
SL	37	0.674158	0.700208	0.683916	0.693265	nan	nan	0.191
SL	38	0.672185	0.701330	0.682763	0.688873	nan	nan	0.193
SL	39	0.670252	0.702452	0.681654	0.688873	nan	nan	0.195
SL	40	0.668359	0.703894	0.680591	0.686676	nan	nan	0.197
SL	41	0.666507	0.704054	0.679570	0.687409	nan	nan	0.199
SL	42	0.664696	0.706137	0.678584	0.684480	nan	nan	0.201
SL	43	0.662933	0.706778	0.677638	0.687409	nan	nan	0.203
SL	44	0.661216	0.707419	0.676728	0.688873	nan	nan	0.205
SL	45	0.659543	0.708220	0.675856	0.688873	nan	nan	0.207
SL	46	0.657918	0.708540	0.675026	0.688141	nan	nan	0.209
SL	47	0.656342	0.708540	0.674238	0.685944	nan	nan	0.211
SL	48	0.654812	0.709502	0.673497	0.683748	nan	nan	0.213
SL	49	0.653333	0.709181	0.672793	0.685212	nan	nan	0.215
SL	50	0.651903	0.708861	0.672127	0.683748	nan	nan	0.217
SL	51	0.650520	0.710303	0.671509	0.684480	nan	nan	0.219
SL	52	0.649186	0.710944	0.670934	0.686676	nan	nan	0.221
SL	53	0.647904	0.710784	0.670400	0.686676	nan	nan	0.223
SL	54	0.646673	0.711585	0.669913	0.687409	nan	nan	0.225
SL	55	0.645491	0.712867	0.669469	0.688873	nan	nan	0.227
SL	56	0.644360	0.713828	0.669068	0.686676	nan	nan	0.229
SL	57	0.643276	0.713668	0.668705	0.685944	nan	nan	0.231
SL	58	0.642241	0.713507	0.668388	0.685212	nan	nan	0.233
SL	59	0.641250	0.713828	0.668104	0.685212	nan	nan	0.236
SL	60	0.640302	0.714469	0.667862	0.684480	nan	nan	0.237
RL	1	0.643951	0.714469	0.669841	0.688141	0.600606	0.588480	0.244
RL	2	0.644093	0.713347	0.670034	0.686676	0.601335	0.589279	0.250
RL	3	0.644254	0.713668	0.670275	0.685212	0.602057	0.590055	0.255
RL	4	0.644453	0.714309	0.670548	0.685212	0.602772	0.590831	0.260
RL	5	0.644681	0.714629	0.670858	0.687409	0.603483	0.591599	0.265
RL	6	0.644931	0.713828	0.671199	0.686676	0.604187	0.592355	0.270
RL	7	0.645210	0.714148	0.671576	0.688873	0.604885	0.593103	0.275
RL	8	0.645513	0.714469	0.671988	0.687409	0.605577	0.593839	0.280
RL	9	0.645838	0.713507	0.672432	0.686676	0.606264	0.594566	0.285
RL	10	0.646188	0.713507	0.672907	0.685944	0.606946	0.595285	0.290
RL	11	0.646562	0.714148	0.673408	0.686676	0.607622	0.595996	0.296
RL	12	0.646958	0.714309	0.673940	0.684480	0.608293	0.596697	0.301
RL	13	0.647373	0.713668	0.674499	0.684480	0.608957	0.597388	0.306
RL	14	0.647802	0.713988	0.675077	0.682284	0.609615	0.598067	0.311
RL	15	0.648254	0.713507	0.675690	0.684480	0.610265	0.598735	0.316
RL	16	0.648722	0.713507	0.676326	0.683748	0.610909	0.599391	0.322
RL	17	0.649207	0.713828	0.676979	0.683748	0.611547	0.600039	0.327
RL	18	0.649706	0.713988	0.677653	0.683748	0.612179	0.600676	0.332
RL	19	0.650223	0.713668	0.678356	0.683748	0.612805	0.601305	0.338
RL	20	0.650759	0.713828	0.679083	0.681552	0.613427	0.601926	0.343
RL	21	0.651306	0.713027	0.679825	0.680820	0.614043	0.602536	0.348
RL	22	0.651877	0.712065	0.680589	0.680088	0.614653	0.603142	0.353
RL	23	0.652459	0.712226	0.681366	0.680088	0.615257	0.603737	0.358
RL	24	0.653052	0.712065	0.682161	0.680088	0.615856	0.604324	0.363
RL	25	0.653654	0.711264	0.682967	0.680820	0.616451	0.604901	0.368
RL	26	0.654256	0.710944	0.683785	0.680820	0.617038	0.605464	0.373
RL	27	0.654867	0.710463	0.684613	0.678624	0.617620	0.606023	0.378
RL	28	0.655484	0.710463	0.685446	0.679356	0.618197	0.606574	0.383
RL	29	0.656105	0.710303	0.686282	0.680088	0.618771	0.607118	0.388
RL	30	0.656738	0.710784	0.687131	0.680820	0.619341	0.607658	0.393
RL	31	0.657378	0.710303	0.687987	0.680820	0.619908	0.608191	0.398
RL	32	0.658022	0.710784	0.688845	0.680820	0.620470	0.608718	0.403
RL	33	0.658682	0.710143	0.689715	0.680820	0.621030	0.609244	0.408
RL	34	0.659343	0.710303	0.690586	0.679356	0.621585	0.609762	0.413
RL	35	0.660011	0.710463	0.691464	0.677892	0.622136	0.610274	0.418
RL	36	0.660684	0.710784	0.692345	0.678624	0.622682	0.610780	0.423
RL	37	0.661365	0.711264	0.693229	0.678624	0.623226	0.611284	0.428
RL	38	0.662057	0.711424	0.694126	0.679356	0.623767	0.611784	0.433
RL	39	0.662759	0.711104	0.695033	0.680088	0.624303	0.612278	0.440
RL	40	0.663456	0.710944	0.695936	0.678624	0.624835	0.612763	0.445
