phase	epoch	train_loss	train_acc	val_loss	val_acc	train_reward	val_reward	elapsed_sec
SL	1	0.768388	0.467734	0.767093	0.486446	nan	nan	0.144
SL	2	0.761127	0.495461	0.758735	0.506777	nan	nan	0.148
SL	3	0.754338	0.525829	0.750984	0.518072	nan	nan	0.150
SL	4	0.748017	0.545965	0.743838	0.537651	nan	nan	0.153
SL	5	0.742146	0.562139	0.737285	0.560241	nan	nan	0.156
SL	6	0.736695	0.577983	0.731300	0.573042	nan	nan	0.160
SL	7	0.731631	0.599604	0.725846	0.597139	nan	nan	0.164
SL	8	0.726922	0.610167	0.720878	0.625753	nan	nan	0.168
SL	9	0.722531	0.622875	0.716352	0.631024	nan	nan	0.172
SL	10	0.718424	0.627331	0.712227	0.632530	nan	nan	0.175
SL	11	0.714570	0.638389	0.708455	0.637048	nan	nan	0.179
SL	12	0.710934	0.643671	0.704994	0.645331	nan	nan	0.182
SL	13	0.707491	0.649282	0.701789	0.650602	nan	nan	0.186
SL	14	0.704214	0.655719	0.698818	0.653614	nan	nan	0.190
SL	15	0.701081	0.661990	0.696050	0.662651	nan	nan	0.194
SL	16	0.698069	0.665621	0.693460	0.663404	nan	nan	0.197
SL	17	0.695162	0.669913	0.691014	0.673946	nan	nan	0.201
SL	18	0.692344	0.671728	0.688693	0.677711	nan	nan	0.204
SL	19	0.689602	0.676349	0.686479	0.685241	nan	nan	0.206
SL	20	0.686927	0.680145	0.684359	0.689006	nan	nan	0.209
SL	21	0.684310	0.683116	0.682321	0.687500	nan	nan	0.213
SL	22	0.681743	0.685097	0.680353	0.691265	nan	nan	0.217
SL	23	0.679222	0.687242	0.678446	0.692018	nan	nan	0.220
SL	24	0.676743	0.688893	0.676600	0.692018	nan	nan	0.222
SL	25	0.674303	0.689223	0.674810	0.691265	nan	nan	0.225
SL	26	0.671901	0.689883	0.673071	0.697289	nan	nan	0.229
SL	27	0.669537	0.691368	0.671382	0.698795	nan	nan	0.233
SL	28	0.667209	0.691698	0.669744	0.701807	nan	nan	0.236
SL	29	0.664918	0.693514	0.668155	0.701807	nan	nan	0.240
SL	30	0.662665	0.695989	0.666617	0.701807	nan	nan	0.244
SL	31	0.660451	0.696650	0.665126	0.701807	nan	nan	0.247
SL	32	0.658274	0.697310	0.663682	0.701807	nan	nan	0.249
SL	33	0.656137	0.699290	0.662291	0.700301	nan	nan	0.253
SL	34	0.654042	0.700446	0.660957	0.698795	nan	nan	0.256
SL	35	0.651987	0.701601	0.659682	0.698795	nan	nan	0.260
